1,AAA,BBB,2014-11-01 00:02:00,check_deposit,4000,0
2,AAA,CCC,2014-11-01 00:21:00,cash_deposit,2000,0
3,AAA,DDD,2014-11-01 00:51:00,direct_deposit,500,0
4,BBB,EEE,2014-11-01 01:02:00,p2p_transfer,4000,0
5,CCC,FFF,2014-11-01 01:26:00,p2p_transfer,1000,0
6,CCC,DDD,2014-11-01 01:49:00,p2p_transfer,1000,0
7,DDD,GGG,2014-11-01 01:51:00,p2p_transfer,1500,0
8,EEE,QQQ,2014-11-01 02:02:00,bill_payment,4000,0
9,FFF,FFF,2014-11-01 02:20:00,card_payment,100,0
10,FFF,QQQ,2014-11-01 02:41:00,bill_payment,900,0
11,GGG,AAA,2014-11-01 02:48:00,cash_withdraw,3000,0
